Código Producto,Fecha,Ventas Actuales,Ventas Reales Futuras,Ventas Predichas,Precio Promedio,Frecuencia,Cluster,Error Absoluto ($),Error (%)
1115,2022-12-01,16.0,78.0,53.43,12226.62,2,0,24.57,31.5
357,2022-12-01,4.0,17.0,17.58,2133.33,3,0,0.58,3.4
T6512,2022-12-01,2.0,3.0,13.43,316.5,1,0,10.43,347.55
963,2022-12-01,10.0,5.0,7.31,168556.78,4,0,2.31,46.22
1113,2022-12-01,12.0,56.0,48.13,15808.75,6,0,7.87,14.05
221,2022-12-01,1.0,13.0,11.39,158250.0,1,0,1.61,12.39
1125,2022-12-01,30.0,22.0,21.05,13764.39,3,0,0.95,4.34
1281,2022-12-01,1.0,1.0,7.6,131875.0,1,0,6.6,660.04
518,2022-12-01,8.0,7.0,12.97,37276.92,4,0,5.97,85.32
369,2022-12-01,36.0,16.0,32.26,65045.43,10,0,16.26,101.65
T7129,2022-12-01,4.0,8.0,14.69,2500.0,1,0,6.69,83.59
1698,2022-12-01,4.0,51.0,21.35,3083.33,3,0,29.65,58.14
T7130,2022-12-01,15.0,41.0,27.13,3390.75,2,0,13.87,33.82
1766,2022-12-01,4.0,23.0,15.3,33857.88,1,0,7.7,33.46
218,2022-12-01,24.0,18.0,23.3,115940.0,5,0,5.3,29.42
1713,2022-12-01,2.0,3.0,11.89,1500.0,1,0,8.89,296.45
624,2022-12-01,5.0,29.0,31.11,712.83,3,0,2.11,7.28
873,2022-12-01,3.0,2.0,9.6,2500.0,1,0,7.6,380.0
862,2022-12-01,1.0,2.0,9.08,1002.25,1,0,7.08,354.23
545,2022-12-01,1.0,4.0,11.3,14242.5,1,0,7.3,182.59
1737,2022-12-01,15.0,13.0,18.81,99899.11,9,0,5.81,44.71
426,2022-12-01,7.0,26.0,19.62,31401.78,2,0,6.38,24.53
2160,2022-12-01,1.0,7.0,10.03,6610.0,1,0,3.03,43.34
2166,2022-12-01,5.0,20.0,11.97,23316.25,4,0,8.03,40.13
959,2022-12-01,4.0,43.0,27.01,120190.0,4,0,15.99,37.19
363,2022-12-01,13.0,46.0,51.06,1430.8,5,0,5.06,11.01
2167,2022-12-01,3.0,20.0,12.46,31333.33,3,0,7.54,37.72
1117,2022-12-01,4.0,32.0,24.23,24146.25,2,0,7.77,24.28
857,2022-12-01,4.0,42.0,34.96,3166.67,3,0,7.04,16.77
960,2022-12-01,4.0,36.0,23.19,110000.0,2,0,12.81,35.59
635,2022-12-01,8.0,39.0,28.12,12850.0,4,0,10.88,27.9
T6510,2022-12-01,10.0,12.0,20.22,256.88,2,1,8.22,68.49
425,2022-12-01,37.0,64.0,59.38,23866.42,5,0,4.62,7.21
2168,2022-12-01,1.0,2.0,9.5,31435.0,1,0,7.5,374.99
1731,2022-12-01,9.0,12.0,22.33,600.0,4,0,10.33,86.04
T6557,2022-12-01,3.0,20.0,11.57,1550.0,2,0,8.43,42.17
1123,2022-12-01,16.0,6.0,10.26,10813.0,3,0,4.26,70.96
1724,2022-12-01,2.0,8.0,15.22,10500.0,1,0,7.22,90.24
1116,2022-12-01,30.0,36.0,27.89,17513.75,5,0,8.11,22.52
544,2022-12-01,12.0,25.0,12.04,16042.5,11,0,12.96,51.83
1721,2022-12-01,2.0,6.0,7.59,4000.0,2,0,1.59,26.53
847,2022-12-01,1.0,3.0,8.08,7800.0,1,0,5.08,169.4
1265,2022-12-01,10.0,33.0,29.18,8624.0,5,0,3.82,11.59
594,2022-12-01,1.0,7.0,10.65,20000.0,1,0,3.65,52.2
358,2022-12-01,7.0,42.0,37.72,2305.25,4,0,4.28,10.19
546,2022-12-01,1.0,15.0,9.98,15000.0,1,0,5.02,33.5
2213,2022-12-01,5.0,2.0,20.06,95754.38,5,0,18.06,902.97
1112,2022-12-01,41.0,19.0,23.14,9655.22,12,0,4.14,21.77
638,2022-12-01,2.0,7.0,13.6,6330.0,2,0,6.6,94.34
1686,2022-12-01,2.0,7.0,14.06,16440.0,2,0,7.06,100.89
1293,2022-12-01,36.0,23.0,24.72,604.82,17,1,1.72,7.47
585,2022-12-01,2.0,16.0,16.49,28485.0,1,0,0.49,3.05
548,2022-12-01,7.0,1.0,11.12,8967.5,6,0,10.12,1012.44
2248,2022-12-01,6.0,13.0,11.08,2230.25,4,0,1.92,14.77
1784,2022-12-01,1.0,2.0,10.9,45000.0,1,0,8.9,444.86
T6327,2022-12-01,3.0,61.0,31.85,462.38,2,0,29.15,47.78
2256,2022-12-01,4.0,3.0,9.26,50000.0,2,0,6.26,208.67
753,2022-12-01,1.0,2.0,11.5,422.0,1,0,9.5,475.11
634,2022-12-01,23.0,59.0,48.15,456.14,10,1,10.85,18.39
2257,2022-12-01,2.0,20.0,11.02,2000.0,2,0,8.98,44.88
1257,2022-12-01,3.0,7.0,9.23,11250.0,2,0,2.23,31.87
349,2022-12-01,3.0,10.0,11.8,13000.0,3,0,1.8,17.95
2103,2022-12-01,2.0,3.0,16.76,750.0,1,0,13.76,458.83
748,2022-12-01,2.0,8.0,12.76,316.5,1,0,4.76,59.55
356,2022-12-01,4.0,5.0,16.24,40550.0,4,0,11.24,224.77
1786,2022-12-01,4.0,31.0,13.06,15000.0,2,0,17.94,57.89
1130,2022-12-01,14.0,2.0,10.03,23847.47,3,0,8.03,401.43
T5794,2022-12-01,3.0,46.0,25.68,300.0,1,0,20.32,44.18
969,2022-12-01,12.0,18.0,15.03,101935.14,5,0,2.97,16.48
